player_name,hand,height_cm,wingspan_cm,nationality
Aaron Krickstein,R,183.0,,USA
Abedallah Shelbayh,L,180.0,,JOR
Adam Pavlasek,R,185.0,,CZE
Adam Peterson,R,185.0,,USA
Adam Walton,R,183.0,,AUS
Adrian Mannarino,L,180.0,,FRA
Adrian Menendez Maceiras,R,185.0,,ESP
Adrian Ungur,R,178.0,,ROU
Adrian Voinea,R,185.0,,ROU
Agustin Calleri,R,183.0,,ARG
Aki Rahunen,R,175.0,,FIN
Albert Chang,R,183.0,,CAN
Albert Costa,R,180.0,,ESP
Albert Montanes,R,175.0,,ESP
Albert Portas,R,188.0,,ESP
Albert Ramos,L,188.0,,ESP
Alberto Berasategui,R,173.0,,ESP
Alberto Mancini,R,180.0,,ARG
Alberto Martin,R,175.0,,ESP
Alejandro Davidovich Fokina,R,183.0,,ESP
Alejandro Falla,L,185.0,,COL
Alejandro Gonzalez,R,190.0,,COL
Alejandro Hernandez,R,180.0,,MEX
Alejandro Tabilo,L,188.0,,CHI
Aleksandar Kovacevic,R,183.0,,USA
Aleksandar Vukic,R,188.0,,AUS
Aleksandr Nedovyesov,R,188.0,,KAZ
Alessandro Giannessi,L,185.0,,ITA
Alessio Di Mauro,L,185.0,,ITA
Alex Antonitsch,R,188.0,,AUT
Alex Bogomolov Jr,R,178.0,,RUS
Alex Bolt,L,183.0,,AUS
Alex Calatrava,R,190.0,,ESP
Alex Corretja,R,180.0,,ESP
Alex De Minaur,R,183.0,,AUS
Alex Kim,R,175.0,,USA
Alex Kuznetsov,R,183.0,,USA
Alex Lopez Moron,R,175.0,,ESP
Alex Michelsen,R,193.0,,USA
Alex Molcan,L,178.0,,SVK
Alex Obrien,R,185.0,,USA
Alex Radulescu,R,185.0,,GER
Alexander Bublik,R,196.0,,KAZ
Alexander Kudryavtsev,R,183.0,,RUS
Alexander Mronz,R,188.0,,GER
Alexander Sarkissian,R,191.0,,USA
Alexander Shevchenko,R,185.0,,KAZ
Alexander Volkov,L,188.0,,RUS
Alexander Waske,R,188.0,,GER
Alexander Zverev,R,198.0,196.0,GER
Alexandr Dolgopolov,R,180.0,,UKR
Alexandre Muller,R,183.0,,FRA
Alexandre Simoni,R,188.0,,BRA
Alexei Popyrin,R,196.0,,AUS
Alexis Galarneau,R,180.0,,CAN
Alexis Hombrecher,R,196.0,,GER
Aljaz Bedene,R,181.0,,SLO
Alois Beust,R,,,FRA
Amer Delic,R,196.0,,BIH
Amir Weintraub,R,188.0,,ISR
Amos Mansdorf,R,175.0,,ISR
Anders Jarryd,R,180.0,,SWE
Andre Agassi,R,180.0,175.0,USA
Andre Sa,R,185.0,,BRA
Andrea Arnaboldi,L,180.0,,ITA
Andrea Basso,L,,,ITA
Andrea Gaudenzi,R,183.0,,ITA
Andrea Stoppini,R,190.0,,ITA
Andrea Vavassori,R,193.0,,ITA
Andreas Beck,L,190.0,,GER
Andreas Haider Maurer,R,190.0,,AUT
Andreas Seppi,R,190.0,,ITA
Andreas Vinciguerra,L,180.0,,SWE
Andrei Cherkasov,R,180.0,,RUS
Andrei Chesnokov,R,188.0,,RUS
Andrei Medvedev,R,193.0,,UKR
Andrei Merinov,L,183.0,,RUS
Andrei Olhovskiy,R,185.0,,RUS
Andrei Pavel,R,183.0,,ROU
Andrei Stoliarov,R,178.0,,RUS
Andres Gomez,L,193.0,,ECU
Andrew Ilie,R,180.0,,AUS
Andrew Sznajder,R,175.0,,CAN
Andrey Golubev,R,185.0,,KAZ
Andrey Kuznetsov,R,183.0,,RUS
Andrey Rublev,R,188.0,188.0,RUS
Andy Murray,R,190.0,188.0,GBR
Andy Roddick,R,188.0,188.0,USA
Antonio Veic,R,180.0,,CRO
Antony Dupuis,R,185.0,,FRA
Arnaud Boetsch,R,183.0,,FRA
Arnaud Clement,R,173.0,,FRA
Arnaud Di Pasquale,R,185.0,,FRA
Arne Thoms,R,188.0,,GER
Arthur Cazaux,R,183.0,,FRA
Arthur Fils,R,185.0,,FRA
Arthur Rinderknech,R,196.0,,FRA
Arvind Parmar,R,193.0,,GBR
Aslan Karatsev,R,185.0,,RUS
Attila Savolt,R,183.0,,HUN
Austin Krajicek,L,188.0,,USA
Axel Pretzsch,R,185.0,,GER
Bart Wuyts,R,178.0,,BEL
Beibit Zhukayev,R,198.0,,KAZ
Ben Shelton,L,193.0,193.0,USA
Benjamin Balleret,R,185.0,,MON
Benjamin Becker,R,178.0,,GER
Benjamin Bonzi,R,183.0,,FRA
Benjamin Hassan,R,183.0,,LBN
Benoit Paire,R,196.0,,FRA
Bernabe Zapata Miralles,R,183.0,,ESP
Bernard Tomic,R,196.0,,AUS
Bernd Karbacher,R,185.0,,GER
Billy Harris,R,193.0,,GBR
Bjorn Borg,R,180.0,,SWE
Bjorn Fratangelo,R,183.0,,USA
Bjorn Phau,R,175.0,,GER
Blaz Kavcic,R,188.0,,SLO
Blaz Rola,L,193.0,,SLO
Bob Bryan,L,193.0,,USA
Bobby Kokavec,R,190.0,,CAN
Bobby Reynolds,R,183.0,,USA
Bohdan Ulihrach,R,188.0,,CZE
Boris Becker,R,190.0,193.0,GER
Boris Pashanski,R,180.0,,SRB
Borna Coric,R,188.0,,CRO
Borna Gojo,R,196.0,,CRO
Botic Van De Zandschulp,R,191.0,,NED
Brad Gilbert,R,185.0,,USA
Brad Pearce,R,175.0,,USA
Bradley Klahn,L,183.0,,USA
Brandon Holt,R,185.0,,USA
Brandon Nakashima,R,188.0,,USA
Brayden Schnur,R,193.0,,CAN
Brendan Evans,R,188.0,,USA
Brett Steven,R,185.0,,NZL
Brian Baker,R,190.0,,USA
Brian Dabul,L,170.0,,ARG
Brian Dunn,R,201.0,,USA
Brian Garrow,R,173.0,,USA
Brian Gyetko,R,183.0,,CAN
Brian Macphie,L,180.0,,USA
Brian Vahaly,R,183.0,,USA
Broderick Dyke,L,183.0,,AUS
Bruce Derlin,L,180.0,,NZL
Bruno Agostinelli,R,,,CAN
Bruno Oresar,R,175.0,,CRO
Bryan Shelton,R,185.0,,USA
Bu Yunchaokete,R,185.0,,CHN
Byron Black,R,175.0,,ZIM
Calvin Hemery,R,191.0,,FRA
Cameron Norrie,L,188.0,,GBR
Carl Uwe Steeb,L,180.0,,GER
Carlos Alcaraz,R,183.0,188.0,ESP
Carlos Berlocq,R,183.0,,ARG
Carlos Costa,R,183.0,,ESP
Carlos Gimeno Valero,R,191.0,,ESP
Carlos Moya,R,190.0,190.0,ESP
Carlos Taberner,R,183.0,,ESP
Carsten Arriens,R,193.0,,GER
Casper Ruud,R,183.0,183.0,NOR
Cassio Motta,R,180.0,,BRA
Cecil Mamiit,R,173.0,,PHI
Cedric Pioline,R,188.0,,FRA
Cedrik Marcel Stebe,L,183.0,,GER
Cem Ilkel,R,185.0,,TUR
Chase Buchanan,R,193.0,,USA
Chris Garner,R,180.0,,USA
Chris Guccione,L,201.0,,AUS
Chris Pridham,R,183.0,,CAN
Chris Wilkinson,R,180.0,,GBR
Chris Woodruff,R,188.0,,USA
Christian Bergstrom,R,180.0,,SWE
Christian Harrison,R,180.0,,USA
Christian Miniussi,R,185.0,,ARG
Christian Ruud,R,188.0,,NOR
Christian Saceanu,R,190.0,,GER
Christian Vinck,L,183.0,,GER
Christo Van Rensburg,R,185.0,,RSA
Christophe Rochus,R,170.0,,BEL
Christopher Eubanks,R,201.0,,USA
Christopher Oconnell,R,183.0,,AUS
Chuck Adams,R,185.0,,USA
Chuhan Wang,R,188.0,,CHN
Chun Hsin Tseng,R,175.0,,TPE
Claude Ngoran,L,190.0,,CIV
Claudio Mezzadri,R,180.0,,SUI
Claudio Pistolesi,R,180.0,,ITA
Coleman Wong,R,191.0,,HKG
Constant Lestienne,R,180.0,,FRA
Corentin Moutet,L,180.0,,FRA
Corrado Borroni,R,185.0,,ITA
Cristian Garin,R,185.0,,CHI
Cristiano Caratti,R,178.0,,ITA
Cyril Saulnier,R,190.0,,FRA
Damir Dzumhur,R,175.0,,BIH
Dan Goldie,R,188.0,,USA
Danai Udomchoke,R,173.0,,THA
Dane Sweeny,R,170.0,,AUS
Danie Visser,L,180.0,,RSA
Daniel Altmaier,R,188.0,,GER
Daniel Brands,R,196.0,,GER
Daniel Courcol,R,190.0,,FRA
Daniel Elahi Galan,R,191.0,,COL
Daniel Elsner,R,183.0,,GER
Daniel Evans,R,175.0,,GBR
Daniel Gimeno Traver,R,185.0,,ESP
Daniel Koellerer,R,180.0,,AUT
Daniel Kosakowski,R,185.0,,USA
Daniel Munoz de la Nava,L,178.0,,ESP
Daniel Nestor,L,190.0,,CAN
Daniel Orsanic,L,183.0,,ARG
Daniel Vacek,R,190.0,,CZE
Daniele Bracciali,R,180.0,,ITA
Daniele Musa,R,183.0,,ITA
Daniil Medvedev,R,198.0,196.0,RUS
Danilo Marcelino,R,193.0,,BRA
Darian King,R,188.0,,BAR
Darren Cahill,R,185.0,,AUS
Darwin Blanch,L,185.0,,USA
Dave Randall,R,183.0,,USA
David Caldwell,R,180.0,,USA
David Dilucia,R,173.0,,USA
David Engel,R,180.0,,SWE
David Ferrer,R,175.0,178.0,ESP
David Goffin,R,180.0,180.0,BEL
David Guez,R,185.0,,FRA
David Nainkin,R,183.0,,RSA
David Nalbandian,R,180.0,183.0,ARG
David Pate,R,183.0,,USA
David Prinosil,R,185.0,,GER
David Rikl,L,178.0,,CZE
David Sanchez,R,183.0,,ESP
David Wheaton,R,193.0,,USA
David Witt,R,190.0,,USA
Davide Sanguinetti,R,188.0,,ITA
Davide Scala,R,180.0,,ITA
Denis Gremelmayr,L,183.0,,GER
Denis Istomin,R,188.0,,UZB
Denis Kudla,R,180.0,,USA
Denis Shapovalov,L,185.0,185.0,CAN
Denis Yevseyev,R,188.0,,KAZ
Dennis Novikov,R,193.0,,USA
Dennis Van Scheppingen,R,185.0,,NED
Derrick Rostagno,R,185.0,,USA
Di Wu,R,175.0,,CHN
Dick Norman,L,203.0,,BEL
Diego Junqueira,L,178.0,,ARG
Diego Nargiso,L,188.0,,ITA
Diego Perez,R,178.0,,URU
Diego Schwartzman,R,170.0,165.0,ARG
Dimitri Poliakov,R,183.0,,UKR
Dinu Pescariu,R,185.0,,ROU
