year,n_matches,base_brier,aug_brier,brier_lift,base_auc,aug_auc,auc_lift,age_coef,temp_x_adiff_coef
2002,520,0.2251996,0.2246999,0.0004997,0.684741,0.685466,0.000725,-0.2949,0.0895
2003,520,0.2341564,0.2339395,0.0002169,0.646143,0.648624,0.002482,-0.3325,0.1517
2004,552,0.228423,0.2304442,-0.0020212,0.671343,0.659138,-0.012205,-0.3282,0.1733
2005,552,0.2212625,0.2176517,0.0036108,0.69422,0.707378,0.013159,-0.3741,0.2733
2006,551,0.2144251,0.2123741,0.002051,0.716318,0.721908,0.00559,-0.5796,0.4609
2007,512,0.224988,0.2223193,0.0026688,0.677046,0.688221,0.011175,-0.5293,0.4198
2008,511,0.2188456,0.2150165,0.0038291,0.700733,0.716974,0.016242,-0.5943,0.4516
2009,520,0.2042418,0.2053801,-0.0011383,0.75345,0.745189,-0.008262,-0.7096,0.5659
2010,520,0.2172617,0.219464,-0.0022024,0.707829,0.699985,-0.007844,-0.6984,0.5627
2011,520,0.2166752,0.2167892,-0.000114,0.700052,0.699626,-0.000425,-0.5922,0.466
2012,512,0.1959244,0.1953851,0.0005393,0.777687,0.779839,0.002151,-0.5679,0.4208
2013,519,0.2136639,0.2139145,-0.0002507,0.717238,0.716626,-0.000613,-0.3655,0.239
2014,520,0.2056888,0.2075738,-0.0018849,0.745775,0.739641,-0.006134,-0.3342,0.2326
2015,517,0.1920437,0.1930766,-0.0010329,0.782829,0.778633,-0.004196,-0.4748,0.4509
2016,520,0.2061828,0.2055447,0.0006381,0.741041,0.743058,0.002017,-0.2179,0.2209
2017,520,0.2175355,0.217371,0.0001645,0.713595,0.71331,-0.000285,-0.3412,0.3018
2018,520,0.2256708,0.2254934,0.0001774,0.681997,0.68426,0.002263,-0.4435,0.3898
2019,520,0.2265544,0.2266779,-0.0001234,0.67963,0.680429,0.000799,-0.3399,0.2614
2020,109,0.2411663,0.2428831,-0.0017169,0.627136,0.620402,-0.006733,-0.1802,0.1087
2021,457,0.2208672,0.2200264,0.0008408,0.691964,0.695325,0.003361,-0.112,0.0399
2022,465,0.2253405,0.2231089,0.0022316,0.68737,0.696404,0.009035,-0.2111,0.1053
2023,640,0.2323312,0.2332483,-0.000917,0.658545,0.660605,0.002061,-0.1931,0.0592
2024,640,0.2221577,0.2220998,5.79e-05,0.689923,0.689456,-0.000468,-0.1385,0.0507
