date,model_prob,market_prob,edge,edge_adj,kelly_frac_used,bet_size,outcome,profit,bankroll,surface,p1_rank,min_edge,kelly_frac,vig,fold,scheme
20060102,0.7431,0.6392,0.1038,0.0788,0.0188,9.3926,0,-9.3926,490.6074,Hard,16.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060102,0.2443,0.1327,0.1116,0.0866,0.001,0.5042,0,-0.5042,490.1032,Hard,172.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060102,0.4434,0.3069,0.1366,0.1116,0.0017,0.8183,1,1.6475,491.7507,Hard,172.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060102,0.3629,0.2496,0.1133,0.0883,0.0012,0.5983,0,-0.5983,491.1524,Hard,41.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060102,0.3014,0.2004,0.101,0.076,0.001,0.482,0,-0.482,490.6704,Hard,61.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060102,0.3066,0.1628,0.1437,0.1187,0.0015,0.7173,0,-0.7173,489.953,Hard,99.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060102,0.3149,0.1884,0.1265,0.1015,0.0013,0.6323,0,-0.6323,489.3207,Hard,76.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060109,0.3364,0.2258,0.1106,0.0856,0.0011,0.5591,0,-0.5591,488.7616,Hard,51.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060109,0.3329,0.2244,0.1085,0.0835,0.0011,0.5437,0,-0.5437,488.2179,Hard,73.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060116,0.5148,0.346,0.1688,0.1438,0.0023,1.116,1,1.8919,490.1097,Hard,186.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060116,0.4722,0.3395,0.1326,0.1076,0.0017,0.8302,0,-0.8302,489.2795,Hard,161.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060116,0.4252,0.2909,0.1343,0.1093,0.0016,0.7815,0,-0.7815,488.498,Hard,217.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060130,0.4323,0.2619,0.1704,0.1454,0.002,0.9959,0,-0.9959,487.5021,Hard,293.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
