fold_year,params,n_total,n_glare,n_low,n_moderate,serve_glare,serve_low,serve_delta,serve_p_value,cohens_d,upset_glare,upset_low,upset_delta,n_bets,bet_roi,bet_sharpe,base_roi,roi_vs_base,elev_low,elev_high,angle_deg,min_penalty
2005,"(5.0, 60.0, 30.0, 0.01)",548,243,155,150,0.68779,0.69518,-0.00739,0.3172,-0.1033,0.3786,0.3613,0.0173,243,-0.1992,-0.1937,-0.2075,0.0083,5.0,60.0,30.0,0.01
2006,"(5.0, 60.0, 30.0, 0.01)",551,275,184,92,0.68349,0.68935,-0.00586,0.3803,-0.0842,0.365,0.3152,0.0497,274,-0.2052,-0.1924,-0.2825,0.0773,5.0,60.0,30.0,0.01
2007,"(5.0, 60.0, 30.0, 0.01)",508,219,170,119,0.69565,0.70495,-0.0093,0.1868,-0.135,0.3836,0.3412,0.0424,219,-0.1829,-0.1758,-0.1919,0.0091,5.0,60.0,30.0,0.01
2008,"(5.0, 60.0, 30.0, 0.01)",509,220,274,15,0.69076,0.7108,-0.02004,0.0012,-0.2958,0.3636,0.3773,-0.0137,220,-0.2306,-0.2257,-0.2182,-0.0125,5.0,60.0,30.0,0.01
2009,"(5.0, 60.0, 30.0, 0.01)",516,190,194,132,0.69994,0.71859,-0.01865,0.0099,-0.2647,0.3368,0.2526,0.0843,190,-0.2473,-0.2275,-0.3027,0.0554,5.0,60.0,30.0,0.01
2010,"(5.0, 60.0, 30.0, 0.01)",509,218,190,101,0.69865,0.70909,-0.01043,0.112,-0.1591,0.3578,0.3789,-0.0211,218,-0.1819,-0.1526,-0.218,0.0361,5.0,60.0,30.0,0.01
2011,"(5.0, 60.0, 30.0, 0.005)",516,210,223,83,0.70526,0.7099,-0.00464,0.4741,-0.0688,0.4,0.3408,0.0592,210,-0.1358,-0.1275,-0.2008,0.065,5.0,60.0,30.0,0.005
2012,"(5.0, 60.0, 30.0, 0.005)",504,207,218,79,0.69993,0.70814,-0.00821,0.1978,-0.125,0.3188,0.2615,0.0574,207,-0.3235,-0.3252,-0.3769,0.0534,5.0,60.0,30.0,0.005
2013,"(5.0, 60.0, 30.0, 0.005)",509,209,228,72,0.709,0.70617,0.00282,0.6497,0.0436,0.3636,0.3436,0.02,209,-0.2276,-0.2214,-0.2677,0.0401,5.0,60.0,30.0,0.005
2014,"(5.0, 60.0, 30.0, 0.02)",512,168,295,49,0.71119,0.71788,-0.00669,0.2749,-0.1033,0.3274,0.2949,0.0325,168,-0.2898,-0.273,-0.3444,0.0546,5.0,60.0,30.0,0.02
2015,"(5.0, 60.0, 30.0, 0.02)",517,160,301,56,0.70887,0.72527,-0.01639,0.0165,-0.2497,0.293,0.3123,-0.0193,157,-0.3805,-0.3946,-0.3251,-0.0554,5.0,60.0,30.0,0.02
2016,"(5.0, 60.0, 30.0, 0.02)",514,167,320,27,0.70622,0.72045,-0.01423,0.0231,-0.2209,0.3114,0.3344,-0.023,167,-0.3274,-0.3246,-0.2815,-0.0459,5.0,60.0,30.0,0.02
2017,"(5.0, 60.0, 30.0, 0.02)",512,166,304,42,0.70753,0.71954,-0.01201,0.0646,-0.184,0.3012,0.3158,-0.0146,166,-0.3269,-0.2965,-0.3279,0.001,5.0,60.0,30.0,0.02
2018,"(5.0, 60.0, 30.0, 0.02)",517,167,299,51,0.70985,0.71618,-0.00633,0.3053,-0.0967,0.3653,0.3679,-0.0026,167,-0.2143,-0.2063,-0.2093,-0.005,5.0,60.0,30.0,0.02
2019,"(5.0, 60.0, 30.0, 0.02)",510,166,301,43,0.69883,0.71187,-0.01304,0.0451,-0.1969,0.4036,0.402,0.0016,166,-0.1259,-0.1175,-0.1454,0.0194,5.0,60.0,30.0,0.02
2020,"(5.0, 60.0, 30.0, 0.02)",109,24,50,35,0.68717,0.72517,-0.038,0.0524,-0.5339,0.3333,0.42,-0.0867,24,-0.254,-0.2383,-0.0936,-0.1604,5.0,60.0,30.0,0.02
2021,"(5.0, 60.0, 30.0, 0.02)",452,118,294,40,0.68376,0.71245,-0.0287,0.0,-0.4373,0.3898,0.3776,0.0123,118,-0.1793,-0.1744,-0.1693,-0.0101,5.0,60.0,30.0,0.02
2022,"(5.0, 60.0, 30.0, 0.02)",462,126,292,44,0.7027,0.71188,-0.00918,0.2199,-0.138,0.3571,0.3733,-0.0161,126,-0.2415,-0.2367,-0.2205,-0.021,5.0,60.0,30.0,0.02
2023,"(5.0, 60.0, 30.0, 0.02)",632,143,318,171,0.70528,0.71523,-0.00995,0.1238,-0.1538,0.4056,0.3679,0.0377,143,-0.0838,-0.0685,-0.1169,0.0332,5.0,60.0,30.0,0.02
2024,"(5.0, 60.0, 30.0, 0.02)",635,207,314,114,0.71015,0.71906,-0.00891,0.1109,-0.1424,0.285,0.3822,-0.0971,207,-0.3319,-0.2953,-0.1536,-0.1783,5.0,60.0,30.0,0.02
